Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
10000,1.4189383,0.00029999972,0.006734063314800683,0.4043807919123842,-20.089422,0.0067307960847307665
20000,1.4191587,0.00029999914,0.006358245858985271,0.3794815223386652,-9.515045,0.006354482613760849
30000,1.4186848,0.00029999853,0.00624673704954888,0.37354032147272975,-5.1352715,0.006248626232935259
40000,1.419161,0.0002999979,0.006156792857322701,0.36762895060883843,-3.0444524,0.00616005458085506
50000,1.4188958,0.00029999734,0.006249484679656445,0.3772496222008518,-1.8604591,0.0062737798424571676
60000,1.4180897,0.00029999673,0.006197895173752701,0.3636736367363674,-1.121296,0.0061793158427012815
70000,1.4171302,0.0002999961,0.006491974062603317,0.3724790780628344,-0.8024523,0.006495538631846582
80000,1.4170042,0.0002999955,0.006036872425958937,0.3451756156641098,-0.60464495,0.0060266235033574886
90000,1.4166781,0.00029999486,0.006579020057763381,0.38776639911430943,-0.452202,0.0065921708674628755
100000,1.4160234,0.0002999943,0.006190345445836859,0.37013165112452,-0.3811803,0.006195175299357639
110000,1.4155059,0.0002999937,0.006414546316800705,0.38136061946902655,-0.3536749,0.00640795455813128
120000,1.415775,0.00029999312,0.006149229162785906,0.36379757195471285,-0.3016608,0.006129207985197164
130000,1.4164044,0.0002999925,0.006209435367071405,0.36228524679574586,-0.25947854,0.006221041015054118
140000,1.4167396,0.00029999192,0.0062540759471670275,0.3588315217391304,-0.14077182,0.006253566919698276
150000,1.417478,0.0002999913,0.006353996595334365,0.36133768352365414,-0.09590921,0.006363017286208493
160000,1.4180806,0.0002999907,0.006204989746675166,0.3478084962913014,-0.097659126,0.006203503903714473
170000,1.4178967,0.00029999012,0.006061946767159795,0.3399034593724859,-0.08181187,0.006060565320287476
180000,1.4167118,0.00029998954,0.005977011360656256,0.33654103180967654,-0.049061503,0.0059692717429173335
190000,1.415212,0.00029998893,0.0062579251265483206,0.3491164171050857,-0.0031061384,0.006258264601717206
200000,1.4147123,0.00029998829,0.006292952291628306,0.3469882765125994,0.0029823342,0.006296645419600115
210000,1.4148601,0.00029998773,0.006252851826416904,0.34424909408133136,-0.010458019,0.0062575613598334625
220000,1.4149102,0.0002999871,0.006240429679185772,0.34412357286769646,-0.020907605,0.006252017073812201
230000,1.4148816,0.00029998648,0.006417487375111478,0.3465119417082715,-0.019118521,0.00640376836216907
240000,1.4148196,0.0002999859,0.006324222290310851,0.346707957452538,-0.0122205345,0.006316639599578398
250000,1.4147452,0.00029998532,0.006149959979527842,0.3293007178941771,-0.008519797,0.006152107294764295
260000,1.4146281,0.00029998468,0.006161156333977958,0.34078436621603536,0.0032226613,0.006172723477174021
270000,1.4150872,0.00029998412,0.006071667199492901,0.3369434416365824,0.005096659,0.006068993044257769
280000,1.4152282,0.0002999835,0.006220672873425283,0.33958975734012603,0.024563909,0.006224544340293427
290000,1.4141778,0.00029998293,0.006069333197673162,0.33293333333333336,0.025066003,0.006049547014240975
300000,1.4132729,0.00029998232,0.0061163878231542965,0.3373913043478261,0.0026988857,0.006120401200741829
310000,1.4132851,0.00029998168,0.0063061003696630955,0.34668099973125505,0.010400164,0.0063147972193318995
320000,1.4137615,0.00029998113,0.006112747586990223,0.338243170862346,0.022320721,0.006124280028926236
330000,1.4138516,0.00029998054,0.006254925801216106,0.3571137382796576,-0.0038857285,0.0062483037944524224
340000,1.4135998,0.0002999799,0.0062360314768580396,0.36167893158898884,-0.018028049,0.006229240262945326
350000,1.4129765,0.0002999793,0.006426220371996349,0.371914426769062,-0.017211428,0.006420243992592192
360000,1.4116325,0.0002999787,0.0060113958770308396,0.3562610229276896,-0.003998275,0.006014109211500667
370000,1.4101077,0.0002999781,0.0063395914712907255,0.37289296971358094,0.03100837,0.0063476587885988945
380000,1.4094179,0.00029997752,0.006064060667932163,0.3553203040173724,0.008845863,0.006063973840894609
390000,1.4087166,0.00029997693,0.006084181805623687,0.3577732518669382,0.006733523,0.006084181804864972
400000,1.4078009,0.00029997632,0.00598879089896635,0.3340005337603416,0.006640005,0.005980261269371553
410000,1.4087796,0.0002999757,0.006170613425046975,0.3452637244348762,0.011069757,0.006171128611982101
420000,1.4096501,0.0002999751,0.00621875825927995,0.34815909701693093,-0.018990554,0.006228602098027142
430000,1.4094936,0.00029997452,0.005990622772998005,0.33878097789685196,-0.0068789367,0.005992233395041727
440000,1.4100188,0.0002999739,0.006295689984757719,0.3608837970540098,-0.0032336083,0.006292364088385158
450000,1.4102932,0.00029997333,0.00596014963944676,0.3365873228135865,0.023584716,0.005956167178946622
460000,1.409638,0.0002999727,0.00639286186500923,0.3623484538891159,0.024884554,0.006388283235196034
470000,1.4091516,0.0002999721,0.0061884135054247925,0.35341093665403356,0.010312675,0.006190282714273743
480000,1.4087484,0.00029997152,0.006272285111019058,0.3539978390059427,0.014770431,0.006296245963076037
490000,1.408585,0.0002999709,0.006094403100461873,0.3471341874578557,0.017943585,0.006081863334426268
500000,1.4078625,0.0002999703,0.006384803778857139,0.3622004357298475,0.0051550646,0.006386920837660089
510000,1.4079018,0.00029996972,0.006459047735996707,0.37000960351214157,0.006150189,0.0064430447623770185
520000,1.4072626,0.00029996914,0.00598124568010646,0.3390488948425988,0.008189322,0.005985000535837774
530000,1.4062595,0.0002999685,0.005974060569771919,0.33988501136515575,0.009533546,0.005985792655127806
540000,1.4057755,0.00029996794,0.006325358710291854,0.36596035543403965,0.008171013,0.006318448581718184
550000,1.4058727,0.00029996733,0.006141185934550987,0.360310119695321,0.003955744,0.006139300637673868
560000,1.405767,0.00029996672,0.005973391123611643,0.35582405647569915,0.004030217,0.005964484074103391
570000,1.4053376,0.00029996614,0.006355684989134702,0.38831042621130085,-4.121765e-06,0.006359849918768685
580000,1.4052289,0.00029996553,0.0062404993176258024,0.36169923995656894,0.006082917,0.006265503471023919
590000,1.4057707,0.00029996492,0.006522400296690866,0.38025442477876104,-0.0057474505,0.006508483782314008
600000,1.4059712,0.0002999643,0.006223929608414516,0.3718441273326015,-0.0034698215,0.006215882455277894
610000,1.4057035,0.0002999637,0.006416816341153254,0.3811367722306735,0.025296666,0.006411212226656286
620000,1.4055997,0.0002999631,0.006322491208162275,0.38394463667820067,0.015185941,0.006325259372901339
