Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
10000,1.4189384,0.00029999967,0.18356746354944273,17.512014787430683,-0.4215503,0.18380334101105886
20000,1.4169532,0.0002999991,0.1351028776386515,12.706447187928669,-0.21902148,0.1350547930863622
30000,1.4158708,0.0002999985,0.21349344500970893,20.534934497816593,-0.08418896,0.21333332599621582
40000,1.4160303,0.00029999792,0.17961887075834504,17.16333938294011,-0.048425134,0.1797449851785201
50000,1.4164932,0.00029999734,0.1851031853560547,17.692307692307693,0.02281124,0.18495326548745142
60000,1.4158593,0.00029999667,0.17578482852240193,16.756613756613756,0.07486759,0.17581271618117608
70000,1.4137138,0.00029999609,0.18324674915086914,17.510204081632654,0.10390316,0.1831725357940113
80000,1.4121019,0.0002999955,0.18080438352726277,17.26142595978062,0.10620366,0.18069469375736752
90000,1.4114598,0.0002999949,0.1881178665176714,17.986692015209126,0.10780433,0.18825426255220254
100000,1.4108058,0.0002999943,0.18417602584589174,17.582397003745317,0.114857465,0.18393995702322607
110000,1.4101356,0.0002999937,0.1821915244728217,17.370165745856355,0.1105348,0.18233885216778814
120000,1.4097534,0.00029999312,0.19626222653296246,18.771037181996086,0.121407546,0.1963600714138751
130000,1.4090865,0.00029999253,0.17544143752001964,16.71171171171171,0.11311804,0.175108298417248
140000,1.4079243,0.0002999919,0.19346978125066205,18.49512670565302,0.11144021,0.19400777509399772
150000,1.4075251,0.0002999913,0.1747818460060612,16.659685863874344,0.1069009,0.1745200649092387
160000,1.407421,0.0002999907,0.19706122008513433,18.867346938775512,0.11212104,0.1971079353318984
170000,1.4069935,0.0002999901,0.18453210596712905,17.63302752293578,0.11164625,0.18454043614773957
180000,1.4059671,0.00029998954,0.19808852675949903,18.955734406438633,0.11616242,0.1982696098303591
190000,1.4057441,0.00029998895,0.18927893315069025,18.077798861480076,0.11716287,0.18931558319923428
200000,1.4058856,0.00029998829,0.17634719316502376,16.81374321880651,0.10343838,0.1761010780372398
210000,1.4051962,0.00029998767,0.19920159235388457,19.043912175648703,0.114397034,0.1983832263512288
220000,1.4043508,0.00029998712,0.18924855068325996,18.08092485549133,0.12304046,0.19021193871565292
230000,1.4037583,0.0002999865,0.18722433041597047,17.88783269961977,0.115028426,0.18653991800014058
240000,1.4029994,0.00029998593,0.2106342447634164,20.209302325581394,0.12147269,0.2116949057869487
250000,1.4021255,0.00029998532,0.19534883284291557,18.68217054263566,0.11959231,0.19520308763667854
260000,1.4016314,0.00029998468,0.1910894898922411,18.328793774319067,0.11653723,0.19072124127073478
270000,1.4014659,0.0002999841,0.18227105819698655,17.386446886446887,0.106528886,0.18235831181952897
280000,1.4012883,0.0002999835,0.18426965880260038,17.573033707865168,0.106699176,0.1844007441327534
290000,1.401313,0.0002999829,0.19791918749535325,18.943434343434344,0.11167932,0.1979352154576706
300000,1.4009376,0.00029998232,0.19125474857683417,18.30038022813688,0.11306327,0.19123338975111268
310000,1.4002131,0.0002999817,0.19093566824687502,18.237816764132553,0.116039634,0.1908949353416896
320000,1.3999666,0.00029998113,0.18368029329219493,17.544609665427508,0.10666763,0.18386193525755026
330000,1.3991947,0.00029998054,0.1850831751606656,17.68946395563771,0.10908769,0.18431733712224063
340000,1.3981138,0.0002999799,0.1827374260830979,17.435754189944134,0.105685316,0.1830167539549551
350000,1.3969591,0.00029997932,0.18076502328199115,17.27686703096539,0.10672401,0.18107272240248592
360000,1.395201,0.00029997874,0.1888527682453508,18.04588910133843,0.113762826,0.18873562485736106
370000,1.3938881,0.0002999781,0.1818232003558242,17.349907918968693,0.10274957,0.18206260986900571
380000,1.3934253,0.0002999775,0.21059321563185776,20.194915254237287,0.11698775,0.2101906687771049
390000,1.3922307,0.0002999769,0.17789660921443168,16.97504456327986,0.0941271,0.17742856643827898
400000,1.3916476,0.0002999763,0.19873210189745957,19.040899795501023,0.10937859,0.1995918305894854
410000,1.3894557,0.00029997574,0.18157797759279198,17.328440366972476,0.09901529,0.1815412788489543
420000,1.3881226,0.00029997516,0.19135134707431536,18.295366795366796,0.10725062,0.19131527446945354
430000,1.3874393,0.00029997452,0.18362131942515536,17.540441176470587,0.090489164,0.1837981600143494
440000,1.3867505,0.0002999739,0.19544909742777933,18.708582834331338,0.103704385,0.19521911651549112
450000,1.3854058,0.0002999733,0.18282196561058023,17.456439393939394,0.09571333,0.18282196436176132
460000,1.3848939,0.00029997271,0.203976138581931,19.542743538767397,0.11118992,0.20396413573943287
470000,1.3834063,0.0002999721,0.19223300541199526,18.39611650485437,0.10749816,0.1924124446150336
480000,1.382118,0.00029997152,0.18740811960220452,17.899419729206965,0.11202777,0.18743242692691364
490000,1.3810529,0.00029997094,0.191528042140678,18.315280464216634,0.100842156,0.19137330207707112
500000,1.3804864,0.0002999704,0.20183999548852444,19.35,0.109069265,0.201699992492795
510000,1.3803099,0.0002999697,0.19836400374617802,19.008179959100204,0.109601565,0.19776638727406132
520000,1.3799818,0.00029996908,0.1923883452143484,18.42135922330097,0.10646142,0.1925968930536751
530000,1.3797632,0.00029996852,0.20677754215570845,19.848232848232847,0.12415577,0.20675674897546953
540000,1.3798904,0.00029996788,0.19143129343110074,18.31297709923664,0.109676845,0.19172083543716836
550000,1.3797469,0.0002999673,0.1974141370015915,18.876767676767678,0.11210534,0.1976411227932981
560000,1.3792105,0.00029996675,0.19313461106772034,18.440384615384616,0.11055584,0.1933076861529396
570000,1.3784453,0.00029996614,0.19044487001788685,18.21276595744681,0.10781683,0.19060076914669932
580000,1.3775111,0.0002999655,0.19662697973202856,18.827380952380953,0.108890355,0.19626481501245688
590000,1.3764596,0.00029996492,0.20127048730453262,19.24795081967213,0.12003631,0.20123202567136017
600000,1.3753527,0.0002999643,0.18705223462502682,17.87686567164179,0.11955437,0.1869589493978324
610000,1.37463,0.00029996372,0.19494989544212937,18.639278557114228,0.12416258,0.19342684833881613
620000,1.3740853,0.00029996314,0.1991451247734116,19.09741550695825,0.12296974,0.19984062994826599
630000,1.3729095,0.0002999625,0.1994877004591351,19.102459016393443,0.11795548,0.200184798235307
640000,1.371738,0.00029996192,0.20146292134865612,19.286573146292586,0.116372555,0.2017330611978038
650000,1.3715109,0.0002999613,0.19803643282050426,18.973684210526315,0.11646486,0.19803643070523314
660000,1.3711565,0.0002999607,0.20848420586633054,20.010526315789473,0.123326525,0.20862868438054363
670000,1.3695554,0.00029996008,0.20273641397955433,19.428571428571427,0.11966236,0.20239918758612005
680000,1.3681686,0.00029995947,0.197842737513354,18.945564516129032,0.11692236,0.1982459610989017
690000,1.3672074,0.00029995895,0.19161849282681942,18.325626204238922,0.11185011,0.19157691703966032
700000,1.3663398,0.0002999583,0.20004056348006333,19.16632860040568,0.11365804,0.1999190220466027
710000,1.365601,0.00029995773,0.2056249954039231,19.741666666666667,0.12013239,0.204384126243549
720000,1.3641603,0.00029995712,0.20097759224914485,19.268839103869652,0.11473051,0.20189795460628004
730000,1.3632288,0.00029995647,0.2106355885122666,20.199152542372882,0.11816409,0.21063424170363781
740000,1.362611,0.00029995592,0.1976227853666764,18.905697445972496,0.121089146,0.197874009125228
750000,1.3618137,0.0002999553,0.20474467627466358,19.627659574468087,0.12249079,0.20488322107417947
760000,1.3614483,0.0002999547,0.20174088617899882,19.33400809716599,0.105093226,0.20190282728568262
770000,1.3606565,0.00029995412,0.20847106972047366,20.014462809917354,0.10965206,0.20836776192877288
780000,1.3598739,0.00029995354,0.2055391074565828,19.710359408033828,0.10284384,0.20492599751745166
790000,1.359532,0.00029995292,0.21598290115531182,20.69871794871795,0.13116618,0.2164316173348353
800000,1.3594884,0.00029995228,0.19136985873624887,18.30528375733855,0.111294486,0.19168626964092256
810000,1.3594526,0.00029995173,0.2144880126350131,20.586056644880173,0.12031414,0.21430434090611727
820000,1.3592345,0.00029995112,0.205991730932916,19.74173553719008,0.10493421,0.20582644084914903
830000,1.3583705,0.0002999505,0.21219354364420137,20.35268817204301,0.12815239,0.21210299619341613
840000,1.3577604,0.00029994993,0.20493901980949975,19.650406504065042,0.12544802,0.2051120110827284
850000,1.3565801,0.00029994934,0.20096707369733618,19.26954732510288,0.118359916,0.20080081683256543
860000,1.3567225,0.00029994873,0.21365956969242147,20.540425531914895,0.11941657,0.21405982293793532
870000,1.3565261,0.0002999481,0.19805327426168884,18.94672131147541,0.10557227,0.19788933964446187
880000,1.3563927,0.00029994748,0.22259911396725324,21.40308370044053,0.1204207,0.2220659262490469
