Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
10000,1.4189383,0.00029997024,0.07643749829148874,6.81875,-44.79609,0.0764553965213643
20000,1.4206971,0.00029991032,0.08008169755643976,7.1838235294117645,-14.887668,0.07986122184414036
30000,1.4206557,0.00029984993,0.07960130009221245,7.127746135069162,-5.2646117,0.07978827120275131
40000,1.4199257,0.00029979,0.08126140897204767,7.287136929460581,-2.7145507,0.08124377810941456
50000,1.4191626,0.00029973025,0.07635229759191221,6.795011691348402,-1.8455062,0.07642244500712733
60000,1.419001,0.00029966948,0.07688819218290048,6.840500390930415,-1.4303331,0.07668231339638408
70000,1.419103,0.00029960976,0.07215976170071307,6.379437869822485,-1.0153886,0.07229120210115987
80000,1.4181734,0.00029955019,0.071229983851845,6.286754002911208,-0.7614954,0.07116532915197883
90000,1.417944,0.00029948997,0.07090975096235065,6.2663755458515285,-0.58683306,0.07103272449970245
100000,1.4178917,0.00029942958,0.07148175022707585,6.2978102189781024,-0.35888734,0.07148904864995802
110000,1.4177496,0.00029936983,0.07328346881823211,6.479431563201197,-0.2793907,0.07329094756698332
120000,1.4169425,0.00029930985,0.07113619651631856,6.2913328477785875,-0.19823845,0.07106413753600058
130000,1.4156952,0.00029924983,0.068350802106063,5.987421383647798,-0.16122185,0.0683379864733791
140000,1.4147298,0.0002991902,0.06951841204387608,6.089943342776204,-0.09604003,0.06946845972167313
150000,1.4140189,0.00029912955,0.06745328568953338,5.907266435986159,-0.08614139,0.06759861348048626
160000,1.4138364,0.00029906974,0.06866102735889344,6.0458069062720226,-0.02007522,0.06864084288031912
170000,1.4133363,0.0002990099,0.06766990140008117,5.936893203883495,-0.0052908654,0.0676197064995228
180000,1.4131045,0.0002989502,0.06842986588149909,5.980460572226099,0.0036471062,0.06840306635286186
190000,1.413338,0.00029889034,0.0738583254026419,6.546345139412208,0.0110123055,0.07383106890391575
200000,1.4131763,0.00029883045,0.07705743336811205,6.8646734854445315,0.030564602,0.07704402346152274
210000,1.412312,0.0002987697,0.0780956157843074,6.9593625498007965,0.052813288,0.07810358406894236
220000,1.411142,0.0002987101,0.08314767746639906,7.464978902953587,0.047182176,0.08300675500681423
230000,1.4100128,0.0002986504,0.08247257199625677,7.415189873417722,0.041392576,0.0826835430183994
240000,1.4088314,0.00029859043,0.08295607922686818,7.449324324324325,0.035412177,0.08298986343465545
250000,1.4077135,0.00029852978,0.08610526123329212,7.780701754385965,0.053159166,0.08593339053954763
260000,1.4070315,0.00029846988,0.08980751403297556,8.15032080659945,0.05005962,0.08979834934080226
270000,1.4067422,0.0002984106,0.09315340700876815,8.479166666666666,0.042318244,0.09315639726146703
280000,1.4063331,0.00029835026,0.09755445326503255,8.906930693069308,0.04013008,0.09750741731438096
290000,1.4055773,0.00029829008,0.09815553120585346,8.962113659022931,0.055403695,0.09818544298417844
300000,1.4042794,0.00029822995,0.09765173911084583,8.949253731343283,0.04114912,0.09774129308055883
310000,1.402906,0.0002981697,0.10111680101855185,9.251024590163935,0.057196695,0.10113846061130365
320000,1.4021405,0.00029810984,0.10740740500666478,9.88888888888889,0.05280867,0.10730141341702464
330000,1.4019327,0.0002980498,0.1079212229707048,9.942013129102845,0.06007066,0.10803063330800972
340000,1.4006034,0.00029799025,0.1124342832011836,10.412571428571429,0.07677972,0.11254857043921948
350000,1.4000676,0.00029793035,0.11686760968094952,10.829787234042554,0.05315879,0.11638297768745651
360000,1.4005408,0.0002978702,0.12305486009240225,11.465087281795512,0.048356082,0.1233915190381971
370000,1.4008394,0.00029781018,0.11924939200769182,11.105326876513317,0.052230433,0.11951514880765568
380000,1.4005749,0.00029774985,0.11859374734922312,11.038461538461538,0.0713469,0.11824729601267864
390000,1.4006487,0.00029768972,0.12531130596654538,11.689961880559085,0.053653125,0.12543256743870315
400000,1.4005929,0.00029762986,0.12782383133980585,11.94300518134715,0.10154191,0.12768434463273662
410000,1.3998886,0.00029757022,0.12441918913820627,11.631313131313131,0.08400182,0.12459595692626228
420000,1.3986661,0.00029751018,0.11624557001091795,10.824085005903187,0.070396475,0.11597402435820879
430000,1.3986844,0.00029744924,0.12499999720603228,11.6751269035533,0.05728224,0.12520304265748805
440000,1.3987371,0.00029739004,0.1322029342947003,12.367156208277704,0.08083947,0.13214952874187633
450000,1.397342,0.00029733038,0.12686855386529772,11.87757731958763,0.07158513,0.1269072127197245
460000,1.3965913,0.0002972692,0.12928010182240637,12.079842931937172,0.070459954,0.1293455454769559
470000,1.3957369,0.00029721035,0.13990084673132927,13.178470254957507,0.07963288,0.1397733653845429
480000,1.3949549,0.00029715052,0.1395903923601375,13.11864406779661,0.08809081,0.13926553063220898
490000,1.3944844,0.00029709033,0.14380466150874732,13.556851311953352,0.08279591,0.1443585964332473
500000,1.3942248,0.00029703023,0.14796101618306837,13.989505247376313,0.0794917,0.14800599064102685
510000,1.3935966,0.0002969705,0.1465925893159928,13.82074074074074,0.06876362,0.14657777123429158
520000,1.3921341,0.00029690968,0.14175035551168996,13.381635581061692,0.07080245,0.1414203663547677
530000,1.3918844,0.00029684976,0.13644536347856248,12.811894882434302,0.076014176,0.13650068653847913
540000,1.3913938,0.00029679,0.14514705557923982,13.689705882352941,0.08359341,0.1451911716201507
550000,1.3907801,0.00029673087,0.14778442783448512,13.965568862275449,0.07816301,0.14794909482554136
