Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
10000,1.4189384,0.00029999967,9.14676,-38.371870148271164,149.31666666666666,-38.37186972309525
20000,1.4189644,0.00029999914,8.80973,None,None,None
30000,1.4182082,0.0002999985,7.592192,-38.36537766725262,206.0,-38.36537684652762
40000,1.4170744,0.00029999786,82.225716,-38.5955504640336,229.05084745762713,-38.59555001734456
50000,1.4166503,0.00029999728,105.80877,-39.24435807131418,175.94642857142858,-39.24435694389519
60000,1.417756,0.00029999673,89.477936,-39.26058471443442,262.0,-39.260584476248674
70000,1.4198358,0.0002999962,13.964147,-39.33471693098157,247.58333333333334,-39.3347146878019
80000,1.4200629,0.0002999955,16.734858,-39.257167471880265,217.8490566037736,-39.25716766934701
90000,1.4197724,0.00029999486,19.752634,-39.25654350522779,298.54545454545456,-39.25654342739356
100000,1.4191622,0.0002999943,16.655533,-39.34106533349404,304.75,-39.34106848342344
110000,1.4189681,0.00029999373,22.752682,-39.342255333758146,426.87719298245617,-39.342255513174585
120000,1.4181414,0.00029999306,21.319954,-39.43353595731555,265.63793103448273,-39.43353759192918
130000,1.4173884,0.00029999248,17.008972,-39.425084601979634,178.73214285714286,-39.42508506190331
140000,1.41704,0.0002999919,16.263596,-39.338492786970164,220.875,-39.33849169925088
150000,1.416921,0.00029999125,22.096369,-39.34868800030788,328.54,-39.348686253975615
160000,1.4167863,0.0002999907,31.040203,-39.32419928292178,394.57142857142856,-39.32420016319624
170000,1.4171102,0.00029999018,44.44022,-39.40971626606526,357.4418604651163,-39.40971674393256
180000,1.4176463,0.0002999895,57.017685,-39.32204545935965,379.6,-39.322045967914164
190000,1.4185925,0.00029998887,65.820885,-39.1949370491493,235.5,-39.19493771204725
200000,1.4197026,0.0002999883,63.57779,-39.15284309711715,641.4,-39.15284414546913
210000,1.4207289,0.00029998773,62.651966,-39.240815961006405,640.5555555555555,-39.262940996067805
220000,1.4207177,0.00029998712,53.576866,-39.48817884829238,149.05882352941177,-39.33820277455795
230000,1.4208285,0.0002999865,42.015926,-39.39395111763907,234.91228070175438,-39.393951644849345
240000,1.4205551,0.00029998596,32.313427,-39.508488259049045,147.0,-39.50848875114025
250000,1.4204446,0.00029998538,22.439133,-39.51365491447135,142.1346153846154,-39.50130188325332
260000,1.4196348,0.00029998468,12.409267,-39.529881422687325,114.56923076923077,-39.53181072125648
270000,1.4186813,0.00029998407,3.4879365,-39.42954281564016,130.28125,-39.429542914594094
280000,1.4188615,0.00029998348,0.23672374,-39.35307596136223,217.83636363636364,-39.35307599741923
290000,1.4191655,0.00029998287,-2.5908825,-39.43485012283158,162.91071428571428,-39.434850056422874
300000,1.4190478,0.00029998235,1.9741875,-39.28639880012488,225.8,-39.28639987986535
