Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
10000,1.4189384,0.00029999972,0.09425694899578166,8.596356663470758,15.3476715,0.09425143571123623
20000,1.4193766,0.00029999908,0.10087089938470392,9.239754098360656,7.2555656,0.10091188077463722
30000,1.4191996,0.00029999853,0.09297450217114968,8.444759206798867,3.2760317,0.09275731464234076
40000,1.4188962,0.00029999792,0.092052481541342,8.373945641986879,2.2698672,0.09213682848893825
50000,1.4176356,0.0002999973,0.09440921979180673,8.602305475504323,1.7765845,0.094534097829839
60000,1.416884,0.0002999967,0.09138733501506195,8.317504655493483,1.2807987,0.09148320549431799
70000,1.4162092,0.0002999961,0.10098663700279327,9.267214799588901,0.9187087,0.10061538027456174
80000,1.4161471,0.00029999553,0.09472061445315678,8.648362235067438,0.6052939,0.09485520805235823
90000,1.4167064,0.00029999492,0.09632149686085344,8.797830374753453,0.5624063,0.09623644917909735
100000,1.4161851,0.0002999943,0.09999999776482582,9.172239108409322,0.43024465,0.10017205991967004
110000,1.4160601,0.0002999937,0.10310344597132041,9.47753396029258,0.37474683,0.10318657768152233
120000,1.4165863,0.0002999931,0.10387368188876855,9.547368421052632,0.32244402,0.10341386143861636
130000,1.4176834,0.0002999925,0.10211458105089453,9.367708333333333,0.2024474,0.10253901733909264
140000,1.4177657,0.00029999192,0.10557464855321944,9.737916219119226,0.16512877,0.10528463546974959
150000,1.4167265,0.0002999913,0.10622317359139223,9.781115879828326,0.14718258,0.10531685854659428
160000,1.415761,0.0002999907,0.10214583105019605,9.3875,0.114043586,0.10311457868277406
170000,1.4156171,0.00029999012,0.10080859549496106,9.255885363357216,0.09152831,0.1007274550206379
180000,1.4152819,0.0002999895,0.10287814896099833,9.461134453781513,0.08253454,0.10311320302246502
190000,1.4152993,0.0002999889,0.10549732384515956,9.724064171122995,0.07775827,0.10534260710162895
200000,1.4149873,0.0002999883,0.1110238883034056,10.271899886234356,0.057723057,0.111056812888604
210000,1.4137135,0.00029998773,0.10861201943025563,10.002185792349726,0.0524175,0.10872130687526667
220000,1.412557,0.00029998712,0.11262856891112669,10.421714285714286,0.06737963,0.11257142359018325
230000,1.4117824,0.0002999865,0.1176309497516957,10.914285714285715,0.07006332,0.1176309465630246
240000,1.4114013,0.0002999859,0.10924528057704556,10.085460599334073,0.059364166,0.10930077197623504
250000,1.4112548,0.00029998532,0.1098327734647786,10.157190635451505,0.07116426,0.10956521190021815
260000,1.4106607,0.00029998473,0.11634002101234872,10.804014167650532,0.06833614,0.11651711287075893
270000,1.4098932,0.0002999841,0.11343317718807316,10.534562211981568,0.06524467,0.11315667675164301
280000,1.4088016,0.00029998348,0.12376411266652973,11.526976160602258,0.06707784,0.12414052046910208
290000,1.4081571,0.0002999829,0.12545801246297042,11.704834605597965,0.067956105,0.12545800833244816
300000,1.4080074,0.00029998235,0.12365118920606756,11.53952321204517,0.053121965,0.12376410980128136
310000,1.4071058,0.00029998168,0.12764553401624015,11.934023285899094,0.058528554,0.1273997350153724
320000,1.4068456,0.0002999811,0.14501461664171159,13.654970760233919,0.0817796,0.1446783543477238
330000,1.4064623,0.00029998051,0.1390806192392549,13.083451202263083,0.062180452,0.1395756642648995
340000,1.4042596,0.0002999799,0.1469584536885163,13.84272997032641,0.082121246,0.14683975455094161
350000,1.4028827,0.0002999793,0.13901546806013199,13.073136427566807,0.08359047,0.13877464170029885
360000,1.4027091,0.0002999787,0.1489291067767557,14.081447963800905,0.078778975,0.14873493116079683
370000,1.4032348,0.00029997813,0.15130434444417123,14.281055900621118,0.08623866,0.1520995240641141
380000,1.4024807,0.00029997752,0.14815361559545095,13.991137370753323,0.06988766,0.14774002098757635
390000,1.4020883,0.0002999769,0.15068111118309824,14.219814241486068,0.09174799,0.15080246000757647
400000,1.4021353,0.00029997632,0.15324158678885083,14.489296636085626,0.094963975,0.15306747470485285
410000,1.4008904,0.0002999757,0.16676222224221965,15.836424957841484,0.09431629,0.1670994821458452
420000,1.399284,0.00029997513,0.16132569197510443,15.294599018003273,0.09197164,0.1605718857882654
430000,1.3988831,0.00029997452,0.15454968598653904,14.588509316770187,0.07998579,0.1550699734588155
440000,1.3978606,0.0002999739,0.14093930320814252,13.229768786127167,0.087904386,0.141023046229711
450000,1.3973553,0.00029997333,0.16212417938277807,15.366013071895425,0.084079,0.16188214908303683
460000,1.3974205,0.00029997271,0.18039999596774578,17.176363636363636,0.08338005,0.1799636236070232
470000,1.3975773,0.00029997207,0.16718854845159684,15.86026936026936,0.082521856,0.1676430863544646
480000,1.396681,0.00029997152,0.1723633118440287,16.37389770723104,0.08653087,0.1728218576757523
490000,1.3952014,0.00029997088,0.15648985609656285,14.795631825273011,0.08456014,0.15630264132168847
500000,1.3934226,0.0002999703,0.1601610270159352,15.178743961352657,0.089167535,0.16019322711452483
510000,1.3929796,0.00029996972,0.16530781660458313,15.67720465890183,0.09315316,0.16499998816289008
520000,1.3927202,0.0002999691,0.17140597156420848,16.291739894551846,0.0849848,0.17092981381309136
530000,1.3919836,0.00029996852,0.17393727834216394,16.522648083623693,0.09097043,0.17440765331262392
540000,1.3906481,0.0002999679,0.16870085093009676,16.011965811965812,0.09259676,0.16892490289634915
