Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
30000,-45.234734,63.762768,0.03460699,1.4173014,0.00029999847,4.229999905452132,416.8,4.229999509453774
40000,-48.006626,183.45616,0.022509634,1.4161769,0.00029999792,None,None,None
50000,-41.50242,41.274326,0.034612205,1.4156532,0.00029999737,3.905254149998901,384.5593220338983,3.9052537901926847
60000,-40.643982,85.494644,0.02590242,1.4153095,0.0002999967,4.489999899640679,442.0,4.489999482408166
70000,-38.46015,35.302216,0.029012123,1.4155184,0.00029999614,3.856666580463449,379.77777777777777,3.8566662271817527
80000,-31.34588,43.9577,0.028559059,1.4160677,0.0002999955,3.913529324290507,385.3529411764706,3.913528962754736
90000,-30.336761,None,None,1.4157907,0.00029999495,None,None,None
100000,-28.537968,18.447662,0.022951787,1.4143089,0.0002999943,3.8899999130517244,383.03389830508473,3.889999554571459
110000,-85.18671,166.7268,0.02661623,1.414102,0.00029999373,4.189999906346202,413.0,4.189999520778656
120000,-80.11027,175.64441,0.048640907,1.4143509,0.00029999315,3.868181731721217,380.90909090909093,3.8681813768365165
130000,-69.73096,254.83247,0.02594915,1.4150225,0.0002999925,4.129999907687306,407.0,4.129999527335167
140000,-67.38077,95.2607,0.0217481,1.415341,0.00029999195,3.6181578138647112,356.57894736842104,3.618157500891309
150000,-53.869152,238.99274,0.027246704,1.415366,0.00029999128,3.7690908248451622,371.3181818181818,3.7690904868597332
160000,-25.403938,175.57968,0.025809096,1.415788,0.00029999067,3.8899999130517244,383.0,3.8899995535612106
170000,-43.754894,None,None,1.4157218,0.00029999012,3.85526307172289,379.6842105263158,3.8552627181797696
180000,-38.68348,97.90434,0.027887717,1.4166241,0.00029998948,3.7399999164044857,368.5,3.739999584853649
190000,-9.871018,77.23186,0.025358966,1.4166837,0.0002999889,3.65350869026754,359.9122807017544,3.6535083628014515
200000,-11.859533,6.2748313,0.029097902,1.4171687,0.0002999883,3.0783332645272217,303.1666666666667,3.078332979232073
210000,-9.801534,7.060515,0.023895359,1.4174962,0.00029998773,3.103636294264685,305.8,3.1036360056562855
220000,-11.373884,4.045487,0.024269035,1.417773,0.0002999871,2.5644443871246443,252.86666666666667,2.564444157936507
230000,-8.481236,10.0143585,0.02487916,1.4169048,0.00029998657,2.773749938001856,273.25,2.773749689105898
240000,-11.340419,5.0239286,0.025099607,1.4158974,0.00029998596,2.7164406172489213,267.6271186440678,2.716440368128025
250000,-11.146443,6.6418285,0.025105363,1.4151084,0.0002999853,2.459999945014715,242.5,2.4599997103214264
260000,-13.683811,9.438968,0.023753189,1.4139328,0.00029998473,3.1646295588946454,311.81481481481484,3.164629273461523
270000,-14.560711,6.7296934,0.025193496,1.4142599,0.0002999841,3.7953845305511584,373.9230769230769,3.864444001474314
280000,-15.860619,12.751679,0.021898916,1.4150909,0.0002999835,3.290952307393863,324.0952380952381,3.3467996194958687
290000,-15.972666,9.065036,0.020472744,1.4152274,0.0002999829,4.657999895885586,458.8666666666667,4.657999462882677
300000,-14.232122,8.953847,0.020379229,1.4153534,0.00029998232,5.006666554758946,493.1666666666667,5.006666079163551
310000,-13.048999,7.0739274,0.020337993,1.4154714,0.0002999817,6.951904606517582,684.6190476190476,6.951903970468612
320000,-13.2381315,8.241754,0.022559125,1.4152874,0.0002999811,7.028999842889607,692.05,7.028999197483063
330000,-15.40061,8.156518,0.021884877,1.4150702,0.00029998054,5.960555422326757,587.1666666666666,5.960554872122076
340000,-16.091616,7.5057254,0.021272084,1.4144981,0.00029997987,5.392499879468232,531.25,5.345624391804449
350000,-17.567053,13.522175,0.021237392,1.413435,0.0002999793,5.171739014837405,509.3478260869565,5.232221619398506
360000,-18.689236,12.026297,0.027310738,1.4122822,0.0002999787,4.9035293021622826,482.8235294117647,4.903528851730859
370000,-17.369345,10.539077,0.019650552,1.4113822,0.00029997807,4.649583229407047,458.125,4.649582801619545
380000,-16.40399,10.682928,0.022469131,1.411143,0.00029997752,4.4146427584679,434.57142857142856,4.414642355005656
390000,-16.436098,8.732273,0.02557685,1.4109582,0.00029997693,4.370666568974654,430.73333333333335,4.370666173100472
400000,-15.013558,None,None,1.411003,0.00029997632,4.08102554980761,402.0,4.0810251863052445
410000,-15.062909,10.575735,0.023307148,1.4108416,0.0002999757,3.8094116795588944,375.29411764705884,3.8094113322303578
420000,-14.8207855,8.504474,0.022819668,1.4089386,0.00029997513,3.1491303643940585,310.30434782608694,3.149130072525662
430000,-14.080147,11.246623,0.027385682,1.4091868,0.00029997452,2.8159999370574953,277.32,2.815999684855342
440000,-14.546815,8.275809,0.021774929,1.4089067,0.0002999739,2.9416666009152928,289.92857142857144,2.9416663331378783
450000,-15.036485,10.027301,0.022665663,1.4089681,0.00029997333,2.681086896594776,264.2826086956522,2.6659087898125025
460000,-16.296732,12.994441,0.026263958,1.4085065,0.00029997271,2.603199941813946,256.64,2.633703407314089
470000,-15.820923,12.410391,0.019391222,1.4077849,0.0002999721,2.637555496601595,260.0,2.6375552606665424
480000,-15.1492605,11.621003,0.028093398,1.4073657,0.00029997155,2.645405346275987,260.7027027027027,2.6454051055416867
490000,-13.3966255,12.490768,0.024860056,1.4076718,0.00029997097,2.679999940097332,264.1212121212121,2.67999969806635
