Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
10000,1.4189384,0.00029857605,-20.312307,4.472219119766719,149.8793103448276,4.4722191502243795
20000,1.4200357,0.00029555341,-21.733168,8.160001551732421,256.5,8.160001079551876
30000,1.4201311,0.0002925005,-21.181282,4.71961277720887,204.86666666666667,4.719612768292427
40000,1.4206635,0.00028916833,88.304535,4.589228672884444,215.51666666666668,4.589228659883762
50000,1.4216633,0.00028624316,118.644356,2.296400905070939,167.1551724137931,2.2964009156707546
60000,1.4222482,0.00028360914,90.50727,2.3307772568659857,240.5,2.3307771985419095
70000,1.422632,0.0002805805,-15.2949705,2.5505835114078166,264.5853658536585,2.5505835352970925
80000,1.4223253,0.00027756917,-0.56260294,2.679622785276573,134.77586206896552,2.6714997745339613
90000,1.4216616,0.00027467293,21.66657,2.85120042180325,177.56363636363636,2.856404622318223
100000,1.4215653,0.00027163402,39.445526,2.551394691268258,180.96296296296296,2.4748530491100005
110000,1.4222767,0.00026859142,44.459,2.696602413899535,315.6578947368421,2.7307822998249676
120000,1.4229219,0.0002654907,44.47211,2.337640302896034,248.05172413793105,2.3376403134797923
130000,1.422571,0.00026241585,41.305233,2.6869421121464776,195.22857142857143,2.6869421217590572
140000,1.4218144,0.00025951423,40.728935,2.5625081516841117,240.3,2.562508129188791
150000,1.4215044,0.00025646712,45.97222,2.3443297600654964,293.9583333333333,2.3755842889659107
160000,1.4218458,0.000253437,45.211456,2.7881997389838835,409.8787878787879,2.7431900378383163
170000,1.4222656,0.00025051046,35.99553,2.2809460076969117,389.1111111111111,2.280945984646678
180000,1.4227452,0.0002474812,17.26527,1.9891530119166418,360.2083333333333,1.9891529812448425
190000,1.4236188,0.00024452203,20.255539,1.745737995688493,253.6,1.745738010843181
200000,1.4245924,0.00024153716,22.480158,1.9395994943409713,214.80434782608697,1.9395994990810994
210000,1.4249064,0.00023854924,28.119635,2.0471026499512943,189.36170212765958,2.046053666949526
220000,1.424779,0.00023548436,23.75454,1.9385466064658674,159.8658536585366,1.942920985153657
230000,1.424986,0.00023248297,34.8722,1.7593221703435402,134.93506493506493,1.759322167773332
240000,1.4255381,0.000229481,25.385536,1.7474359950660663,128.85915492957747,1.7474359806190887
250000,1.425773,0.00022656754,14.451461,1.8626696654302004,132.42465753424656,1.8430725153250647
260000,1.4261274,0.00022352797,5.9295697,1.9810469221613347,127.08536585365853,1.9878963289718905
270000,1.4263325,0.00022055434,1.7986608,2.323733666218291,143.1304347826087,2.3237336793664736
280000,1.4272294,0.0002174696,3.2430747,3.0456657692111353,171.17021276595744,3.005340115040202
290000,1.4280487,0.00021448618,6.3899283,3.5709329336998055,221.6,3.5769488965584473
300000,1.4283581,0.00021145256,10.845418,4.251126108219142,251.9189189189189,4.251126071261997
310000,1.4287106,0.00020839932,16.502567,5.053393388964293,256.969696969697,5.05339340500844
320000,1.4287255,0.00020549733,16.085882,3.7636911312374286,244.14,3.7636911515146494
330000,1.4288477,0.00020251633,13.544847,2.8831877362789347,201.2037037037037,2.883187725178518
340000,1.4291061,0.00019952956,12.47192,2.0277110371922995,175.77083333333334,2.027711025516813
350000,1.4294893,0.0001965137,13.399897,2.376019573024593,190.25581395348837,2.376019558273689
360000,1.430091,0.00019346362,11.379147,2.4420811135419265,219.18367346938774,2.4420811329227017
370000,1.4301673,0.00019046858,11.460337,2.5730003128245396,206.31666666666666,2.576634449458097
380000,1.4303774,0.00018750178,12.960087,2.5901246375406943,169.3409090909091,2.584979392156108
390000,1.4306202,0.00018452865,12.888742,2.4239432421897074,195.76,2.4239432322559877
400000,1.4307526,0.00018154057,11.41936,2.4061981086068873,206.96363636363637,2.406198108086193
410000,1.4307859,0.00017850142,9.849511,2.2421023647317875,175.6875,2.2421023908876427
420000,1.4308254,0.00017548814,9.9684105,2.3971831703420983,209.83636363636364,2.390553357837423
430000,1.4309347,0.00017245383,9.322519,2.755647057941939,204.32075471698113,2.7490007527765226
440000,1.4308197,0.00016953355,7.8425374,2.3319715824504583,163.6086956521739,2.3319715499047837
450000,1.4308778,0.0001665412,7.6552715,2.114943972961466,178.0,2.114943986201323
460000,1.4315743,0.0001634901,6.9986105,2.295769643799688,194.40384615384616,2.295769660720208
470000,1.4323596,0.00016045234,7.079606,2.3751577099319547,201.88,2.375157720075222
480000,1.4327282,0.0001575186,6.835588,2.1244628930686633,181.29545454545453,2.124462917489423
490000,1.4328774,0.00015450484,6.356009,2.69151632153761,195.95744680851064,2.69151636016892
500000,1.4330232,0.0001514977,5.8185515,2.18642643985234,188.22448979591837,2.1864264201211308
510000,1.4332591,0.00014853208,6.420742,2.32098231185357,226.26666666666668,2.3500383504592306
520000,1.433631,0.00014548289,5.5105996,2.9697880111919,235.2093023255814,2.9259864138359926
530000,1.4338628,0.00014252032,5.112074,2.5133975294775155,218.64583333333334,2.5199045969391283
540000,1.4339594,0.0001394821,5.127316,2.6615650939410957,187.7391304347826,2.6519055464602213
550000,1.4340131,0.00013652699,5.238464,3.0132649841252714,248.14285714285714,3.0132649855555167
560000,1.4341211,0.00013350797,4.8581986,2.932424568099519,254.89743589743588,2.9324245835081317
570000,1.4343696,0.00013052952,4.5158176,2.6814733286890644,229.47368421052633,2.6814733466660408
580000,1.4347016,0.00012749298,4.3178325,2.7867784803889184,236.11320754716982,2.78677849056208
590000,1.4348742,0.00012449292,3.8300934,2.6721887028004856,204.475,2.6721887149702526
600000,1.4351282,0.00012149703,3.086984,2.9571139296943634,221.19607843137254,2.957113935940844
610000,1.4355415,0.0001185382,3.0336716,2.5161468148637818,187.01960784313727,2.5161468000425136
620000,1.4358488,0.000115544004,2.640428,3.205975284338068,217.80434782608697,3.2059752724447246
630000,1.4358397,0.0001125354,3.0677571,2.7668838182785462,190.40740740740742,2.7668838050212123
640000,1.435659,0.000109542554,2.6100135,2.7293755203260974,196.73214285714286,2.729375526059552
650000,1.4355952,0.000106531654,3.0681283,2.8058674609625167,176.15217391304347,2.8058674888401898
660000,1.4353554,0.00010348076,2.6533086,2.7299298253754385,172.33333333333334,2.729929804689406
670000,1.4350966,0.00010044791,2.4340193,2.941893856996903,189.28,2.9418938842974605
680000,1.4351587,9.747439e-05,2.1194587,3.111225213264298,208.13725490196077,3.1112252496292485
690000,1.4349369,9.4515475e-05,2.5182889,2.864014219130089,185.64583333333334,2.8215401801280677
700000,1.4350427,9.14959e-05,2.5122528,2.9014189742108787,192.77551020408163,2.9360174370723633
